country,adjectivals,demonyms
Afghanistan,Afghan,Afghans
Albania,Albanian,Albanians
Algeria,Algerian,Algerians
Andorra,Andorran,Andorrans
Angola,Angolan,Angolans
Antigua and Barbuda,Antiguan,Antiguans
Argentina,Argentinian,Argentinians
Armenia,Armenian,Armenians
Australia,Australian,Australians
Austria,Austrian,Austrians
Azerbaijan,Azerbaijani,Azerbaijanis
Bahamas,Bahamian,Bahamians
Bahrain,Bahraini,Bahrainis
Bangladesh,Bangladeshi,Bangladeshis
Barbados,Barbadian,Barbadians
Belarus,Belarusian,Belarusians
Belgium,Belgian,Belgians
Belize,Belizean,Belizeans
Benin,Beninese,Beninese
Bermuda,Bermudian,Bermudians
Bhutan,Bhutanese,Bhutanese
Bolivia,Bolivian,Bolivians
Bosnia and Herzegovina,Bosnian,Bosnians
Botswana,Botswanan,Batswana
Brazil,Brazilian,Brazilians
Brunei,Bruneian,Bruneians
Bulgaria,Bulgarian,Bulgarians
Burkina Faso,Burkinabé,Burkinabè
Burundi,Burundian,Burundians
Cabo Verde,Cabo Verdean,Cabo Verdeans
Cambodia,Cambodian,Cambodians
Cameroon,Cameroonian,Cameroonians
Canada,Canadian,Canadians
Central African Republic,Central African,Central Africans
Chad,Chadian,Chadians
Chile,Chilean,Chileans
China,Chinese,Chinese
Colombia,Colombian,Colombians
Comoros,Comorian,Comorians
Congo,Congolese,Congolese
Democratic Republic of the Congo,Congolese,Congolese
Costa Rica,Costa Rican,Costa Ricans
Croatia,Croatian,Croatians
Cuba,Cuban,Cubans
Cyprus,Cypriot,Cypriots
Czech Republic,Czech,Czechs
Denmark,Danish,Danes
Djibouti,Djiboutian,Djiboutians
Dominica,Dominican,Dominicans
Dominican Republic,Dominican,Dominicans
Ecuador,Ecuadorian,Ecuadorians
Egypt,Egyptian,Egyptians
El Salvador,Salvadoran,Salvadoreans
England,English,English
Equatorial Guinea,Equatorial Guinean,Equatorial Guineans
Eritrea,Eritrean,Eritreans
Estonia,Estonian,Estonians
Eswatini,Swazi,Swazis
Ethiopia,Ethiopian,Ethiopians
Fiji,Fijian,Fijians
Finland,Finnish,Finns
France,French,French
Gabon,Gabonese,Gabonese
Gambia,Gambian,Gambians
Georgia,Georgian,Georgians
Germany,German,Germans
Ghana,Ghanaian,Ghanaians
Greece,Greek,Greeks
Grenada,Grenadian,Grenadians
Guatemala,Guatemalan,Guatemalans
Guinea,Guinean,Guineans
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans
Guyana,Guyanese,Guyanese
Haiti,Haitian,Haitians
Honduras,Honduran,Hondurans
Hungary,Hungarian,Hungarians
Iceland,Icelandic,Icelanders
India,Indian,Indians
Indonesia,Indonesian,Indonesians
Iran,Iranian,Iranians
Iraq,Iraqi,Iraqis
Ireland,Irish,Irish
Israel,Israeli,Israelis
Italy,Italian,Italians
Ivory Coast,Ivorian,Ivorians
Jamaica,Jamaican,Jamaicans
Japan,Japanese,Japanese
Jordan,Jordanian,Jordanians
Kazakhstan,Kazakhstani,Kazakhstanis
Kenya,Kenyan,Kenyans
Kiribati,Kiribati,I-Kiribati
North Korea,North Korean,North Koreans
South Korea,South Korean,South Koreans
Kosovo,Kosovar,Kosovars
Kuwait,Kuwaiti,Kuwaitis
Kyrgyzstan,Kyrgyzstani,Kyrgyzstanis
Lao,Laos,Laotians
Latvia,Latvian,Latvians
Lebanon,Lebanese,Lebanese
Lesotho,Basotho,Basotho 
Liberia,Liberian,Liberians
Libya,Libyan,Libyans
Liechtenstein,Liechtensteiner,Liechtensteiners
Lithuania,Lithuanian,Lithuanians
Luxembourg,Luxembourgish,Luxembourgers
Macau,Macanese,Chinese
Madagascar,Malagasy,Malagasy
Malawi,Malawian,Malawians
Malaysia,Malaysian,Malaysians
Maldives,Maldivian,Maldivians
Mali,Malian,Malinese
Malta,Maltese,Maltese
Marshall Islands,Marshallese,Marshallese
Mauritania,Mauritanian,Mauritanians
Mauritius,Mauritian,Mauritians
Mexico,Mexican,Mexicans
Micronesia,Micronesian,Micronesians
Moldova,Moldovan,Moldovans
Monaco,Monacan,Monacans
Mongolia,Mongolian,Mongolians
Montenegro,Montenegrin,Montenegrins
Montserrat,Montserratian,Montserratians
Morocco,Moroccan,Moroccans
Mozambique,Mozambican,Mozambicans
Myanmar,Myanma,Myanmars
Namibia,Namibian,Namibians
Nauru,Nauruan,Nauruans
Nepal,Nepalese,Nepalese
Netherlands,Dutch,Netherlanders
New Zealand,New Zealand,New Zealanders
Nicaragua,Nicaraguan,Nicaraguans
Niger,Nigerien,Nigeriens
Nigeria,Nigerian,Nigerians
North Macedonia,Macedonian,Macedonians
Northern Ireland,Northern Irish,Northern Irish
Norway,Norwegian,Norwegians
Oman,Omani,Omanis
Pakistan,Pakistani,Pakistanis
Palau,Palauan,Palauans
Palestine,Palestinian,Palestinians
Panama,Panamanian,Panamanians
Papua New Guinea,Papua New Guinean,Papuan
Paraguay,Paraguayan,Paraguayans
Peru,Peruvian,Peruvians
Philippines,Filipino,Filipinos
Poland,Polish,Poles
Portugal,Portuguese,Portuguese
Puerto Rico,Puerto Rican,Puerto Ricans
Qatar,Qatari,Qataris
Romania,Romanian,Romanians
Russia,Russian,Russians
Rwanda,Rwandan,Rwandans
Saint Kitts and Nevis,Kittitian,Kittitians
Saint Lucia,Saint Lucian,Saint Lucians
Saint Pierre and Miquelon,Saint-Pierrais,Saint-Pierraises
Saint Vincent and the Grenadines,Saint Vincentian,Saint Vincentians
Sahrawi Arab Democratic Republic,Western Saharan,Western Saharans
Samoa,Samoan,Samoans
San Marino,Sammarinese,Sammarinese
São Tomé and Príncipe,São Toméan,São Toméans
Saudi Arabia,Saudi,Saudis
Scotland,Scottish,Scots
Senegal,Senegalese,Senegalese
Serbia,Serbian,Serbians
Seychelles,Seychellois,Seychellois
Sierra Leone,Sierra Leonean,Sierra Leoneans
Singapore,Singapore,Singaporean
Slovakia,Slovak,Slovakians
Slovenia,Slovenian,Slovenians
Solomon Islands,Solomon Island,Solomon Islanders
Somalia,Somali,Somalis
South Africa,South African,South Africans
South Sudan,South Sudanese,South Sudanese
Spain,Spanish,Spaniards
Sri Lanka,Sri Lankan,Sri Lankans
Sudan,Sudanese,Sudanese
Suriname,Surinamese,Surinamers
Sweden,Swedish,Swedes
Switzerland,Swiss,Swiss
Syria,Syrian,Syrians
Taiwan,Taiwanese,Taiwanese
Tajikistan,Tajikistani,Tajikistanis
Tanzania,Tanzanian,Tanzanians
Thailand,Thai,Thai
Timor-Leste,Timorese,Timorese
Togo,Togolese,Togolese
Tonga,Tongan,Tongans
Trinidad and Tobago,Trinidadian,Trinidadians
Tunisia,Tunisian,Tunisians
Turkey,Turkish,Turks
Turkmenistan,Turkmen,Turkmens
Tuvalu,Tuvaluan,Tuvaluans
Uganda,Ugandan,Ugandans
Ukraine,Ukrainian,Ukrainians
United Arab Emirates,Emirati,Emiratis
United Kingdom,British,Britons
United States of America,American,Americans
Uruguay,Uruguayan,Uruguayans
Uzbekistan,Uzbekistani,Uzbekistanis
Vanuatu,Ni-Vanuatu,Vanuatuan
Venezuela,Venezuelan,Venezuelans
Vietnam,Vietnamese,Vietnamese
Wales,Welsh,Walian
Yemen,Yemeni,Yemenis
Zambia,Zambian,Zambians
Zimbabwe,Zimbabwean,Zimbabweans