Global Code	Global Name	Region Code	Region Name	Sub-region Code	Sub-region Name	Intermediate Region Code	Intermediate Region Name	Country or Area	M49 Code	ISO-alpha2 Code	ISO-alpha3 Code	Least Developed Countries (LDC)	Land Locked Developing Countries (LLDC)	Small Island Developing States (SIDS)	Developed / Developing Countries
1	World	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Dominica	212	DM	DMA			x	Developing
1	World	19	Americas	419	Latin America and the Caribbean	5	South America	Brazil	76	BR	BRA				Developing
1	World	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	CO	COL				Developing
1	World	142	Asia	35	South-eastern Asia			Philippines	608	PH	PHL				Developing
1	World	142	Asia	35	South-eastern Asia			Thailand	764	TH	THA				Developing
1	World	150	Europe	151	Eastern Europe			Czechia	203	CZ	CZE				Developed
1	World	150	Europe	151	Eastern Europe			Russian Federation	643	RU	RUS				Developed
1	World	150	Europe	151	Eastern Europe			Ukraine	804	UA	UKR				Developed
1	World	150	Euruoe	155	Western Europe			France	250	FR	FRA				Developed
1	World	150	Euruoe	155	Western Europe			Germany	276	DE	DEU				Developed